Disciplina;Creditos;Horario;Professor;Vagas;Inscritos;Sobrando
DCO0224 (20262TA) - Empresa e Direitos Humanos (Período ideal: 4);2;sex 13:00 16:15 | sex 13:00 16:15 | qui 13:00 16:15 | qui 13:00 16:15 | qua 13:00 16:15 | qua 13:00 16:15 | ter 13:00 16:15 | ter 13:00 16:15 | seg 13:00 16:15 | seg 13:00 16:15;Vitor Henrique Pinto Ido / Calixto Salomão Filho;60;93;-33
DCO0226 (20262DI) - Negociação em Direito Empresarial (Período ideal: 4);4;sex 09:15 12:50 | sex 09:15 12:50;Ruy Pereira Camilo Junior / Paula Andrea Forgioni;24;56;-32
DCO0323 (20262TA) - Aplicação da Concorrência e Mercado (Período ideal: 5);2;seg 16:20 17:55;(R) José Marcelo Martins Proença;60;50;10
DCO0324 (20262DI) - Solução de Conflitos entre Empresas (Período ideal: 6);2;qui 10:15 11:00 | qui 09:15 10:00;(R) Rodrigo Octávio Broglia Mendes;24;32;-8
DCO0326 (20262DI) - Direito do Consumidor (Período ideal: 6);2;sex 10:15 12:00;Renata Mota Maciel;12;13;-1
DCO0415 (20262DI) - Direito dos Seguros Privados e Gestão Atuarial (Período ideal: 7);2;qui 11:15 12:50;Rodrigo Octávio Broglia Mendes;8;8;0
DCO0416 (20262DI) - Disciplina do Sistema Bancário (Período ideal: 8);2;sex 07:25 09:00;Ruy Pereira Camilo Junior;18;50;-32
DCO0424 (20262DI) - Direito Empresarial Público da Inovação e Acesso ao Conhecimento (Período ideal: 8);2;qua 09:15 11:00 | qua 09:15 11:00;Vitor Henrique Pinto Ido / (R) Calixto Salomão Filho;12;13;-1
DCO0426 (20262DI) - Direito Empresarial da Inovação (Período ideal: 8);2;sex 09:15 11:00;Carlos Pagano Botana Portugal Gouvêa;12;7;5
DCO0428 (20262NO) - A Estrutura da Governança Corporativa (Período ideal: 8);2;sex 18:20 19:55;(R) Carlos Pagano Botana Portugal Gouvêa;50;51;-1
DCO0506 (20262DI) - Fundamentos Jurídicos do Mercado de Capitais (Período ideal: 10);4;sex 09:15 12:50;Thiago Saddi Tannous;12;32;-20
DCV0132 (20262D1) - Direito Romano Atual II (Período ideal: 2);4;sex 09:15 11:00 | sex 09:15 11:00 | sex 09:15 11:00 | sex 09:15 11:00 | qui 09:15 11:00 | qui 09:15 11:00 | qui 09:15 11:00 | qui 09:15 11:00;Edson Kiyoshi Nacata Junior / (R) Eduardo Cesar Silveira Vita Marchi / (R) Darcio Roberto Martins Rodrigues / (R) Bernardo Bissoto Queiroz de Moraes;18;22;-4
DCV0132 (20262D2) - Direito Romano Atual II (Período ideal: 2);4;sex 11:15 12:50 | sex 11:15 12:50 | sex 11:15 12:50 | sex 11:15 12:50 | qui 11:15 12:50 | qui 11:15 12:50 | qui 11:15 12:50 | qui 11:15 12:50;Edson Kiyoshi Nacata Junior / (R) Eduardo Cesar Silveira Vita Marchi / (R) Darcio Roberto Martins Rodrigues / (R) Bernardo Bissoto Queiroz de Moraes;24;18;6
DCV0132 (20262N1) - Direito Romano Atual II (Período ideal: 2);4;qui 18:20 19:55 | qui 18:20 19:55 | qui 18:20 19:55 | qui 18:20 19:55 | qua 18:20 19:55 | qua 18:20 19:55 | qua 18:20 19:55 | qua 18:20 19:55;Edson Kiyoshi Nacata Junior / (R) Eduardo Cesar Silveira Vita Marchi / (R) Darcio Roberto Martins Rodrigues / (R) Bernardo Bissoto Queiroz de Moraes;96;38;58
DCV0132 (20262N2) - Direito Romano Atual II (Período ideal: 2);4;qui 20:00 21:35 | qui 20:00 21:35 | qui 20:00 21:35 | qui 20:00 21:35 | qua 20:00 21:35 | qua 20:00 21:35 | qua 20:00 21:35 | qua 20:00 21:35;Edson Kiyoshi Nacata Junior / (R) Eduardo Cesar Silveira Vita Marchi / (R) Darcio Roberto Martins Rodrigues / (R) Bernardo Bissoto Queiroz de Moraes;114;153;-39
DCV0217 (20262TA) - Introdução ao Latim Jurídico II (Período ideal: 3);4;ter 13:50 17:05;(R) Darcio Roberto Martins Rodrigues;60;29;31
DCV0218 (20262TA) - Introdução ao Direito Contratual do Reino Unido e Estados Unidos da América (Período ideal: 4);2;seg 16:20 17:55;(R) Eduardo Tomasevicius Filho;120;126;-6
